it,Title,Address,latitude,longitude,Category
1,A R ELECTRICALS,"MAIN ROAD NEAR AXIS BANK ATM CHHAJARSI SECTOR 63, Noida, Uttar Pradesh 201307",28.6288443,77.39276,Electric Consultant
2,Aditya Electrical Semi,"EI -365 HIMALAYA ENCLAVE, Khora Colony, Ghaziabad, Uttar Pradesh 201309",28.6271761,77.3503537,Electric Consultant
3,Electrician,"Pusta road, Sector 80 Main Rd, Phase-2, Noida, Uttar Pradesh 201305",28.5506055,77.4164567,Electric Consultant
4,Ananya Electrical & R,"Main Road, Deepak Vihar, Near Sahil Public School, Gzb, Sector 57, Khoda Colony, Bishanpura Rd, Shital ..",28.6129072,77.3522013,Electric Consultant
5,Sarajit Electrician,"Dadri Main Rd, Barola, Sector 49, Noida, Uttar Pradesh 201301",28.5583764,77.3706426,Electric Consultant
6,Harsh electrician,"near Shiv Mandir, Sec 93, Gejha, Sector 93, Noida, Uttar Pradesh 201301",28.5262494,77.3838731,Electric Consultant
7,Ali Electricals,"Haldoni village, Greater Noida, Uttar Pradesh 201306",28.5406613,77.4416944,Electric Consultant
8,Suneel Electrician,"Sec 76 Near Amrapali Amrapali, near Noida, Uttar Pradesh 201304",28.5695867,77.3825185,Electric Consultant
9,NXT Electrician,"B-148, Block B, Sector 51, Noida, Uttar Pradesh 201303",28.5757572,77.3645259,Electric Consultant
10,M.K.SHARMA ELECT,"D-8, Khanpur Colony, Block D, II Colony, Khanpur, New Delhi, Delhi 110062",28.5138395,77.2272458,Electric Consultant
