#,Title,Address,Latitude,longitude,Category
1,Star Electrician,"Sapphire Amrapali, Shope Number 10,45, Road, Sadarpur, Noida, Uttar Pradesh 201301",28.55712,77.348314,Electric Consultant
2,Anand Eledrotech Pv...,"1-42, I Block, Sector 9, Noida, Uttar Pradesh 201301",28.5883277,77.3263265,Electric Consultant
3,Electrician Service - E..,"First Floor,8-75, Sector 63, Noida, Gautam Budh Nagar, Uttar Pradesh 201301",28.667388,77.447575,Electric Consultant
4,Avision Electrical,",Opp. Barola,-, Dadri Main Rd, Noida, Uttar Pradesh 201301",28.561183,77.3651772,Electric Consultant
5,Electrician Service-S,"192V+F7 , Lane No. 1 Near Golden Nest Apartment behind Shree Krishna Inter College, Garhi Chaukhan",28.6012059,77.3931546,Electric Consultant
6,Rihan Electrician,"Main Road,(Opposite Yadav Hotel), Captain Shashi Kant Marg, Hoshiyarpur, II Colony, Sector 52, Noida,",28.58504,77.369205,Electric Consultant
7,Total Solution for pai.,". F-106, School Rd, Khanpur Village, Khanpur, New Delhi, Delhi 110062",28.5129122,77.2294927,Electric Consultant
8,Parvind Electrical & E,". near Government Primary School, Green Fields Colony, Dayal Nagar, Pocket C, Sector 42, Faridabad, Nary",28.4653862,77.3029794,Electric Consultant
9,Prince Electrician,"A-64, Brock A, Sector 52, Noida, Uttar Pradesh 201301",28.5860272,77.3659217,Electric Consultant
10,ELECTRICIAN,"H9MP TX08, Sariabad Village, Sariabad, Sector 73, Noida, Uttar Pradesh 201307",28.5849151,77.3869495,Electric Consultant
